Freq.	V(n003)
Step Information: Treble1=0 Middle1=12.5K Bass1=0  (Run: 1/18)
2.00000000000000e+001	(-2.25743031046143e+001dB,4.72281730940818e+001°)
2.07052984768276e+001	(-2.24155401105751e+001dB,4.62427798329722e+001°)
2.14354692507259e+001	(-2.22619828080745e+001dB,4.52563141045548e+001°)
2.21913894413569e+001	(-2.21136382288974e+001dB,4.42699736986399e+001°)
2.29739670999407e+001	(-2.19705008812467e+001dB,4.32849572020532e+001°)
2.37841423000544e+001	(-2.18325527996170e+001dB,4.23024568759702e+001°)
2.46228882668983e+001	(-2.16997637133680e+001dB,4.13236516293928e+001°)
2.54912125463853e+001	(-2.15720913305705e+001dB,4.03497001900452e+001°)
2.63901582154579e+001	(-2.14494817314184e+001dB,3.93817345686851e+001°)
2.73208051350879e+001	(-2.13318698634189e+001dB,3.84208539050771e+001°)
2.82842712474619e+001	(-2.12191801287528e+001dB,3.74681187739806e+001°)
2.92817139189125e+001	(-2.11113270526849e+001dB,3.65245460178769e+001°)
3.03143313302080e+001	(-2.10082160207516e+001dB,3.55911041602630e+001°)
3.13833639158701e+001	(-2.09097440716651e+001dB,3.46687094396511e+001°)
3.24900958542495e+001	(-2.08158007324645e+001dB,3.37582224904497e+001°)
3.36358566101486e+001	(-2.07262688824069e+001dB,3.28604456831155e+001°)
3.48220225318450e+001	(-2.06410256323839e+001dB,3.19761211228025e+001°)
3.60500185044332e+001	(-2.05599432072576e+001dB,3.11059292935589e+001°)
3.73213196614723e+001	(-2.04828898193682e+001dB,3.02504883242251e+001°)
3.86374531569939e+001	(-2.04097305225425e+001dB,2.94103538428038e+001°)
4.00000000000001e+001	(-2.03403280371522e+001dB,2.85860193783190e+001°)
4.14105969536552e+001	(-2.02745435381071e+001dB,2.77779172631419e+001°)
4.28709385014518e+001	(-2.02122373990445e+001dB,2.69864199844077e+001°)
4.43827788827139e+001	(-2.01532698873638e+001dB,2.62118419304218e+001°)
4.59479341998815e+001	(-2.00975018061077e+001dB,2.54544414767306e+001°)
4.75682846001089e+001	(-2.00447950799720e+001dB,2.47144233566625e+001°)
4.92457765337967e+001	(-1.99950132839147e+001dB,2.39919412624372e+001°)
5.09824250927706e+001	(-1.99480221139086e+001dB,2.32871006252197e+001°)
5.27803164309159e+001	(-1.99036898003262e+001dB,2.25999615255411e+001°)
5.46416102701759e+001	(-1.98618874652587e+001dB,2.19305416891506e+001°)
5.65685424949239e+001	(-1.98224894257483e+001dB,2.12788195274085e+001°)
5.85634278378251e+001	(-1.97853734454573e+001dB,2.06447371856167e+001°)
6.06286626604160e+001	(-1.97504209377199e+001dB,2.00282035670758e+001°)
6.27667278317402e+001	(-1.97175171232264e+001dB,1.94290973050239e+001°)
6.49801917084990e+001	(-1.96865511457915e+001dB,1.88472696588564e+001°)
6.72717132202973e+001	(-1.96574161497647e+001dB,1.82825473150702e+001°)
6.96440450636901e+001	(-1.96300093226749e+001dB,1.77347350771579e+001°)
7.21000370088666e+001	(-1.96042319066568e+001dB,1.72036184321549e+001°)
7.46426393229448e+001	(-1.95799891821209e+001dB,1.66889659846972e+001°)
7.72749063139878e+001	(-1.95571904269895e+001dB,1.61905317522559e+001°)
8.00000000000002e+001	(-1.95357488546519e+001dB,1.57080573176846e+001°)
8.28211939073104e+001	(-1.95155815336015e+001dB,1.52412738373530e+001°)
8.57418770029037e+001	(-1.94966092915062e+001dB,1.47899039049552e+001°)
8.87655577654278e+001	(-1.94787566062483e+001dB,1.43536632725978e+001°)
9.18958683997631e+001	(-1.94619514862480e+001dB,1.39322624320142e+001°)
9.51365692002180e+001	(-1.94461253421662e+001dB,1.35254080597350e+001°)
9.84915530675936e+001	(-1.94312128518706e+001dB,1.31328043308094e+001°)
1.01964850185541e+002	(-1.94171518203413e+001dB,1.27541541062261e+001°)
1.05560632861832e+002	(-1.94038830360041e+001dB,1.23891599995704e+001°)
1.09283220540352e+002	(-1.93913501247915e+001dB,1.20375253286793e+001°)
1.13137084989848e+002	(-1.93794994030718e+001dB,1.16989549581593e+001°)
1.17126855675650e+002	(-1.93682797304263e+001dB,1.13731560386213e+001°)
1.21257325320832e+002	(-1.93576423631220e+001dB,1.10598386483846e+001°)
1.25533455663481e+002	(-1.93475408089994e+001dB,1.07587163432289e+001°)
1.29960383416998e+002	(-1.93379306843869e+001dB,1.04695066195380e+001°)
1.34543426440595e+002	(-1.93287695735578e+001dB,1.01919312958988e+001°)
1.39288090127380e+002	(-1.93200168911625e+001dB,9.92571681790829e+000°)
1.44200074017733e+002	(-1.93116337480019e+001dB,9.67059449060147e+000°)
1.49285278645890e+002	(-1.93035828204477e+001dB,9.42630064256595e+000°)
1.54549812627976e+002	(-1.92958282237736e+001dB,9.19257672544991e+000°)
1.60000000000001e+002	(-1.92883353896256e+001dB,8.96916935221742e+000°)
1.65642387814621e+002	(-1.92810709478375e+001dB,8.75583027715721e+000°)
1.71483754005808e+002	(-1.92740026127844e+001dB,8.55231632031963e+000°)
1.77531115530856e+002	(-1.92670990744622e+001dB,8.35838923874379e+000°)
1.83791736799526e+002	(-1.92603298944900e+001dB,8.17381554655027e+000°)
1.90273138400436e+002	(-1.92536654072409e+001dB,7.99836628571986e+000°)
1.96983106135188e+002	(-1.92470766263348e+001dB,7.83181674916014e+000°)
2.03929700371083e+002	(-1.92405351567512e+001dB,7.67394615748605e+000°)
2.11121265723664e+002	(-1.92340131128591e+001dB,7.52453729081354e+000°)
2.18566441080704e+002	(-1.92274830427027e+001dB,7.38337607679487e+000°)
2.26274169979696e+002	(-1.92209178589312e+001dB,7.25025113611407e+000°)
2.34253711351301e+002	(-1.92142907768098e+001dB,7.12495328672266e+000°)
2.42514650641665e+002	(-1.92075752598112e+001dB,7.00727500823328e+000°)
2.51066911326962e+002	(-1.92007449733403e+001dB,6.89700986811210e+000°)
2.59920766833997e+002	(-1.91937737472065e+001dB,6.79395191162739e+000°)
2.69086852881190e+002	(-1.91866355475176e+001dB,6.69789501792911e+000°)
2.78576180254761e+002	(-1.91793044587215e+001dB,6.60863222515932e+000°)
2.88400148035467e+002	(-1.91717546765739e+001dB,6.52595502813433e+000°)
2.98570557291780e+002	(-1.91639605128516e+001dB,6.44965265289777e+000°)
3.09099625255952e+002	(-1.91558964126566e+001dB,6.37951131332600e+000°)
3.20000000000002e+002	(-1.91475369851732e+001dB,6.31531345597169e+000°)
3.31284775629243e+002	(-1.91388570487307e+001dB,6.25683700045083e+000°)
3.42967508011616e+002	(-1.91298316909939e+001dB,6.20385458391210e+000°)
3.55062231061712e+002	(-1.91204363450413e+001dB,6.15613281945149e+000°)
3.67583473599053e+002	(-1.91106468819961e+001dB,6.11343157973667e+000°)
3.80546276800873e+002	(-1.91004397207376e+001dB,6.07550331854860e+000°)
3.93966212270376e+002	(-1.90897919550414e+001dB,6.04209244439992e+000°)
4.07859400742166e+002	(-1.90786814982660e+001dB,6.01293476179923e+000°)
4.22242531447329e+002	(-1.90670872454224e+001dB,5.98775699704135e+000°)
4.37132882161409e+002	(-1.90549892521230e+001dB,5.96627642654772e+000°)
4.52548339959393e+002	(-1.90423689295161e+001dB,5.94820062668119e+000°)
4.68507422702603e+002	(-1.90292092538622e+001dB,5.93322736452833e+000°)
4.85029301283331e+002	(-1.90154949889136e+001dB,5.92104464928869e+000°)
5.02133822653924e+002	(-1.90012129187154e+001dB,5.91133096354182e+000°)
5.19841533667994e+002	(-1.89863520878786e+001dB,5.90375569267724e+000°)
5.38173705762381e+002	(-1.89709040457821e+001dB,5.89797976909436e+000°)
5.57152360509523e+002	(-1.89548630905790e+001dB,5.89365654532111e+000°)
5.76800296070935e+002	(-1.89382265083151e+001dB,5.89043290691817e+000°)
5.97141114583561e+002	(-1.89209948019563e+001dB,5.88795063189423e+000°)
6.18199250511905e+002	(-1.89031719046902e+001dB,5.88584799836811e+000°)
6.40000000000004e+002	(-1.88847653715410e+001dB,5.88376163643006e+000°)
6.62569551258486e+002	(-1.88657865431550e+001dB,5.88132861366019e+000°)
6.85935016023232e+002	(-1.88462506756029e+001dB,5.87818873673090e+000°)
7.10124462123426e+002	(-1.88261770302261e+001dB,5.87398704412520e+000°)
7.35166947198108e+002	(-1.88055889179598e+001dB,5.86837645752447e+000°)
7.61092553601747e+002	(-1.87845136931917e+001dB,5.86102055213141e+000°)
7.87932424540752e+002	(-1.87629826930815e+001dB,5.85159639943714e+000°)
