"Name"|"Type"|"SPICE model"|"Triode Connection"
"2A3"|"T"|"2A3"|
"2A6"|"T"|"75"|
"3A/167M"|"T"|"3A167M"|
"3C33"|"twin T"|"3C33"|
"6A6"|"twin T"|"53"|
"6AC5-GT"|"T"|"6AC5"|
"6AF4"|"T"|"6AF4"|
"6AH4"|"T"|"6AH4"|
"6AK6"|"P"|"6AK6"|"6AK6T"
"6AN8 Triode Section"|"T"|"6AN8T"|
"6AN8 Pentode Section"|"P"|"6AN8P"|"6AN8PT"
"6AQ5"|"P"|"6V6"|"6V6T"
"6AR5"|"P"|"6K6"|"6K6T"
"6AQ8"|"twin T"|"6AQ8"|
"6AU6"|"P"|"6AU6"|"6AU6T"
"6AV5-GA"|"B"|"6BQ6"|"6BQ6T"
"6AV6 Triode Section"|"T"|"12AX7"|
"6B4-G"|"T"|"2A3"|
"6BL7-GT"|"twin T"|"6BL7"|
"6BL8 Triode Section"|"T"|"6BL8T"|
"6BL8 Pentode Section"|"P"|"6BL8P"|"6BL8PT"
"6BM8 Triode Section"|"T"|"6BM8T"|
"6BM8 Pentode Section"|"P"|"6BM8P"|"6BM8PT"
"6BQ5"|"P"|"6BQ5"|"6BQ5T"
"6BQ6"|"B"|"6BQ6"|"6BQ6T"
"6BQ7A"|"twin T"|"6BQ7A"|
"6BR7"|"P"|"6BR7"|"6BR7T"
"6BX7-GT"|"twin T"|"6BX7"|
"6C33C-B"|"T"|"6C33CB"|
"6C4"|"T"|"6C4"|
"6C5"|"T"|"6C5"|
"6C6"|"P"|"6J7"|"6J7T"
"6C8-G"|"twin T"|"6C8"|
"6C19P"|"T"|"6C19P"|
"6CA7"|"P"|"EL34"|"EL34T"
"6C-A10"|"T"|"6CA10"|
"6CB5"|"B"|"6CB5"|"6CB5T"
"6CB6"|"P"|"6CB6"|"6CB6T"
"6CD6-GA"|"B"|"6CD6"|"6CD6T"
"6CG7"|"twin T"|"6CG7"|
"6CK4"|"T"|"6CK4"|
"6CL6"|"P"|"6CL6"|"6CL6T"
"6CW5"|"P"|"6CW5"|"6CW5T"
"6DE7 Unit 1"|"T"|"6DE71"|
"6DE7 Unit 2"|"T"|"6DE72"|
"6DQ5"|"B"|"6DQ5"|"6DQ5T"
"6DQ6-B"|"B"|"6DQ6"|"6DQ6T"
"6DT8"|"twin T"|"6DT8"|
"6EJ7"|"P"|"6EJ7"|"6EJ7T"
"6EM7 Unit 1"|"T"|"6EM71"|
"6EM7 Unit 2"|"T"|"6EM72"|
"6EW7 Unit 1"|"T"|"6DE71"|
"6EW7 Unit 2"|"T"|"6EW72"|
"6F5"|"T"|"6F5"|
"6F6, 6F6-G, 6F6-GT"|"P"|"6F6"|"6F6T"
"6FQ7"|"twin T"|"6FQ7"|
"6G-A4"|"T"|"6GA4"|
"6GB5"|"B"|"6GB5"|"6GB5T"
"6G-B7"|"B"|"25E5"|"25E5T"
"6G-B8"|"B"|"6GB8"|"6GB8T"
"6G-B9"|"B"|"6DQ6"|"6DQ6T"
"6GE5"|"B"|"6DQ6"|"6DQ6T"
"6GJ5-A"|"B"|"6DQ6"|"6DQ6T"
"6GT5A"|"B"|"6DQ6"|"6DQ6T"
"6GV5"|"B"|"6DQ6"|"6DQ6T"
"6GW6"|"B"|"6DQ6"|"6DQ6T"
"6GW8 Triode Section"|"T"|"12AX7"|
"6GW8 Pentode Section"|"P"|"6GW8P"|"6GW8PT"
"6GY5"|"B"|"6GY5"|"6GY5T"
"6HE5"|"B"|"6JB5"|"6JB5T"
"6J5"|"T"|"6SN7"|
"6J7"|"P"|"6J7"|"6J7T"
"6JB6-A"|"B"|"6DQ6"|"6DQ6T"
"6JE6-C"|"B"|"6JE6"|"6JE6T"
"6JF6"|"B"|"6JG6A"|"6JG6AT"
"6JG6-A"|"B"|"6JG6A"|"6JG6AT"
"6JM6-A"|"B"|"6DQ6"|"6DQ6T"
"6JN6"|"B"|"6DQ6"|"6DQ6T"
"6JR6"|"B"|"6JR6"|"6JR6T"
"6JS6-C"|"B"|"6JS6"|"6JS6T"
"6JT6-A"|"B"|"6DQ6"|"6DQ6T"
"6JU6"|"B"|"6JR6"|"6JR6T"
"6K6, 6K6-GT"|"P"|"6K6"|"6K6T"
"6KD6"|"B"|"6KD6"|"6KD6T"
"6KG6-A"|"B"|"6LF6"|"6LF6T"
"6KM6"|"B"|"6KM6"|"6KM6T"
"6KV6-A"|"B"|"6KV6"|"6KV6T"
"6L5-G"|"T"|"6C5"|
"6L6, 6L6-G, 6L6-GC"|"B"|"6L6"|"6L6T"
"6LB6"|"B"|"6LB6"|"6LB6T"
"6LF6"|"B"|"6LF6"|"6LF6T"
"6LG6"|"B"|"6LG6"|"6LG6T"
"6LQ6"|"B"|"6JE6"|"6JE6T"
"6ME6"|"B"|"6JE6"|"6JE6T"
"6MJ6"|"B"|"6JE6"|"6JE6T"
"6N7"|"twin T"|"53"|
"6R-A6"|"T"|"6RA6"|
"6R-B11"|"B"|"6RB11"|"6RB11T"
